id,name ,sex,religion,survival,type of death,place of death,type
af,Anne Frank,2,1,4,2,1,1
of,Otto Frank,1,1,5,3,2,1
ef,Edith Frank,2,1,4,2,3,1
mf,Margot Frank,2,1,4,2,4,1
hvp,Hermann van Pels,1,1,4,1,5,1
avp,Auguste van Pels,2,1,4,2,6,1
pvp,Peter van Pels,1,1,4,2,7,1
fp,Fritz Peffer,1,1,4,1,8,1
rhs,Oma Rosa Holländer-Stern,2,1,4,3,9,1
hpg,Hannah Pick-Goslar,2,1,6,99,99,1
ki,Kitty,99,99,6,99,99,2
mifa,Michael Frank,1,1,1,3,8,1
afs,Alice Frank-Stern,2,1,4,3,8,1
hf,Herbert Frank,1,1,4,3,8,1
rf,Robert Frank,1,1,4,3,8,1
hef,Helene Elias-Frank,2,1,4,3,8,1
ee,Erich Elias,1,1,4,3,8,1
se,Stephan Elias,1,1,4,3,8,1
be,Bernhard Elias,1,1,4,3,8,1
ah,Abraham Holländer,1,1,3,3,8,1
jh,Julius Holländer,1,1,4,3,8,1
wh,Walter Holländer,1,1,4,3,8,1
bh,Bettina Holländer,2,1,2,99,8,1
ks,Kati Stilgenbauer,2,99,99,99,99,1
fs,Frau Schneider,2,2,4,3,8,1
hs,Hilde Stab,2,2,99,3,8,1
ms,Marianne Stab,2,2,99,3,8,1
sl,Sanne Ledermann,2,1,4,1,3,1
iw,Ilse Wagner,2,1,4,1,8,1
jvm,Jacqueline van Maarsen,2,1,6,99,99,1
bb,Betty Bloemendaal,2,1,4,1,3,1
ld,Lenij Duijzend,2,1,4,99,99,1
nb,Nannie Blitz,2,1,6,99,99,1
hm,Henny Mets,2,1,4,1,8,1
dz,Danka Zajde,2,1,5,99,99,1
nvps,Nannie v. Praag-Sigaar,2,1,4,1,3,1
edj,Eefje de Jong,2,1,4,1,8,1
mc,Maurice Coster,1,1,6,99,99,1
ss,Sally Springer,1,1,4,1,8,1
eb,Emiel Bonewit,1,1,4,1,8,1
rc,Robert Cohen,1,1,6,99,99,1
mvdv,Max van de Velde,1,1,99,99,99,1
hk,Herman Koopman,1,1,5,99,99,1
jdb,Jopie de Beer,1,1,4,1,3,1
lb,Leo Blom,1,1,4,99,99,1
adm,Albert de Mesquita,1,1,6,99,99,1
ls,Leo Slager,1,1,4,1,8,1
rs,Ru Stoppelmon,1,1,4,1,3,1
gn,Gertrud Naumann,2,2,5,3,8,1
pp,Pim Pimentel,1,1,5,99,99,1
jk,Jaques Kocernoot,1,1,4,1,3,1
has,Harry Schaap,1,1,4,1,3,1
wj,Werner Joseph,1,1,4,1,8,1
sasa,Sam Salomon,1,1,4,1,3,1
ar,Appie Riem,1,1,4,1,8,1
ku,Frau Kuperus,2,1,99,99,99,1
ke,Herr Keesing,1,1,99,99,99,1
hes,Hello Silberberg,1,1,4,3,8,1
ul,Ursula Löwenbach,2,1,4,99,99,1
ps,Peter Schiff,1,1,4,99,3,1
vk,Victor Kugler,1,2,5,3,8,1
jok,Johannes Kleiman,1,2,5,3,9,1
jv,Johan Voskujil,1,2,4,3,9,1
bv,Bep Voskujil,2,2,5,3,9,1
mg,Miep Gies,2,2,5,3,8,1
jg,Jan Gies,1,2,5,3,9,1
wvm,Willem van Maaren,1,2,5,3,9,1
ml,Miep Lombatto,2,1,99,99,99,1
ck,Charlotte Kaletta,2,2,99,99,99,1
wgvm,Willem Gerard van Maaren,1,99,99,99,99,1
kasi,Karl Silberbauer,1,99,99,99,99,1
gg,Gezinus Gringhuis,1,99,99,99,99,1
wg,Willem Grootendorst,1,99,99,99,99,1
sw,Simon Wiesenthal,1,99,99,99,99,1
ta,Tonny Ahlers,1,99,99,99,99,1
lh,Lena Hartog,2,99,99,99,99,1
laha,Lammert Hartog,1,99,99,99,99,1
avd,Ans van Dijk,2,1,99,99,99,1
behu,Bertus Hulsman,1,99,99,99,99,1
vh,van Hoeven,1,99,99,99,99,1
ge,Gemüsehändler,1,99,99,99,99,1
ee,Einbrecher eins,99,99,99,99,99,1
ez,Einbrecher zwei,99,99,99,99,99,1
kl,Kartoffellieferant,1,99,99,99,99,1
hs,Herr Sleegers,1,99,99,99,99,1
